praca,preco_vista,preco_30d,variacao,data
PA Marabá,328.5,332.0,-5.63,2026-03-27
Alagoas,336.5,340.0,-3.32,2026-03-27
MA Oeste,326.5,330.0,-6.2,2026-03-27
SC,341.5,345.0,-1.88,2026-03-27
PR Noroeste,343.5,347.0,-1.3,2026-03-27
MT Sudeste,338.5,342.0,-2.74,2026-03-27
Roraima,291.0,294.0,-16.45,2026-03-27
RS Pelotas (kg),11.65,11.75,0.0,2026-03-29
RS Oeste (kg),11.75,11.85,0.87,2026-03-29
MS Três Lagoas,334.5,338.0,-3.9,2026-03-29
MS C. Grande,336.5,340.0,-3.32,2026-03-29
MS Dourados,338.5,342.0,-2.74,2026-03-29
GO Reg. Sul,333.5,337.0,-4.18,2026-03-29
MG B.Horizonte,326.5,330.0,-6.2,2026-03-29
MG Sul,322.0,325.0,-7.65,2026-03-29
MG Norte,326.5,330.0,-6.2,2026-03-29
MG Triângulo,331.5,335.0,-4.76,2026-03-29
SP Araçatuba,348.5,352.0,0.0,2026-03-29
SP Barretos,348.5,352.0,0.0,2026-03-29
BA Sul,319.0,322.0,-8.51,2026-03-29
GO Goiânia,329.5,333.0,-5.34,2026-03-29
BA Oeste,322.0,325.0,-7.65,2026-03-29
MT Norte,341.5,345.0,-1.88,2026-03-29
Roraima,291.0,294.0,-16.45,2026-03-29
MT Sudoeste,339.5,343.0,-2.45,2026-03-29
RJ,336.5,340.0,-3.32,2026-03-29
ES,317.0,320.0,-9.09,2026-03-29
Acre,285.0,288.0,-18.18,2026-03-29
TO Norte,324.5,328.0,-6.78,2026-03-29
RO Sudeste,312.0,315.0,-10.39,2026-03-29
PA Paragominas,336.5,340.0,-3.32,2026-03-29
TO Sul,322.0,325.0,-7.65,2026-03-29
PA Marabá,328.5,332.0,-5.63,2026-03-29
Alagoas,336.5,340.0,-3.32,2026-03-29
MA Oeste,326.5,330.0,-6.2,2026-03-29
SC,343.5,347.0,-1.3,2026-03-29
PR Noroeste,346.5,350.0,-0.43,2026-03-29
MT Sudeste,341.5,345.0,-1.88,2026-03-29
MT Cuiabá*,341.5,345.0,-1.88,2026-03-29
PA Redenção,322.0,325.0,-7.65,2026-03-29
MS Dourados,338.5,342.0,-2.74,2026-03-30
BA Sul,319.0,322.0,-8.51,2026-03-30
RS Pelotas (kg),11.65,11.75,0.0,2026-03-30
RS Oeste (kg),11.75,11.85,0.87,2026-03-30
MS Três Lagoas,334.5,338.0,-3.9,2026-03-30
MS C. Grande,336.5,340.0,-3.32,2026-03-30
GO Reg. Sul,333.5,337.0,-4.18,2026-03-30
BA Oeste,322.0,325.0,-7.65,2026-03-30
MG Sul,322.0,325.0,-7.65,2026-03-30
MG Norte,326.5,330.0,-6.2,2026-03-30
MG B.Horizonte,326.5,330.0,-6.2,2026-03-30
MG Triângulo,331.5,335.0,-4.76,2026-03-30
SP Araçatuba,348.5,352.0,0.0,2026-03-30
SP Barretos,348.5,352.0,0.0,2026-03-30
GO Goiânia,329.5,333.0,-5.34,2026-03-30
MT Norte,341.5,345.0,-1.88,2026-03-30
Roraima,291.0,294.0,-16.45,2026-03-30
MT Cuiabá*,341.5,345.0,-1.88,2026-03-30
MT Sudoeste,339.5,343.0,-2.45,2026-03-30
RJ,336.5,340.0,-3.32,2026-03-30
ES,317.0,320.0,-9.09,2026-03-30
Acre,285.0,288.0,-18.18,2026-03-30
TO Sul,322.0,325.0,-7.65,2026-03-30
RO Sudeste,312.0,315.0,-10.39,2026-03-30
PA Paragominas,336.5,340.0,-3.32,2026-03-30
TO Norte,324.5,328.0,-6.78,2026-03-30
PA Marabá,328.5,332.0,-5.63,2026-03-30
Alagoas,336.5,340.0,-3.32,2026-03-30
MA Oeste,326.5,330.0,-6.2,2026-03-30
SC,343.5,347.0,-1.3,2026-03-30
PR Noroeste,346.5,350.0,-0.43,2026-03-30
MT Sudeste,341.5,345.0,-1.88,2026-03-30
PA Redenção,322.0,325.0,-7.65,2026-03-30
MS Dourados,341.5,345.0,-2.72,2026-03-31
BA Sul,319.0,322.0,-9.3,2026-03-31
RS Pelotas (kg),11.65,11.75,-0.86,2026-03-31
RS Oeste (kg),11.7,11.8,-0.43,2026-03-31
MS Três Lagoas,336.5,340.0,-4.15,2026-03-31
MS C. Grande,338.5,342.0,-3.58,2026-03-31
GO Reg. Sul,333.5,337.0,-5.01,2026-03-31
BA Oeste,322.0,325.0,-8.44,2026-03-31
MG Sul,322.0,325.0,-8.44,2026-03-31
MG Norte,326.5,330.0,-7.01,2026-03-31
MG B.Horizonte,326.5,330.0,-7.01,2026-03-31
MG Triângulo,333.5,337.0,-5.01,2026-03-31
SP Araçatuba,351.5,355.0,0.0,2026-03-31
SP Barretos,351.5,355.0,0.0,2026-03-31
GO Goiânia,331.5,335.0,-5.58,2026-03-31
MT Norte,341.5,345.0,-2.72,2026-03-31
Roraima,291.0,294.0,-17.17,2026-03-31
MT Cuiabá*,341.5,345.0,-2.72,2026-03-31
RJ,336.5,340.0,-4.15,2026-03-31
ES,317.0,320.0,-9.87,2026-03-31
Acre,285.0,288.0,-18.88,2026-03-31
TO Norte,326.5,330.0,-7.01,2026-03-31
TO Sul,322.0,325.0,-8.44,2026-03-31
RO Sudeste,312.0,315.0,-11.16,2026-03-31
PA Paragominas,336.5,340.0,-4.15,2026-03-31
MT Sudoeste,341.5,345.0,-2.72,2026-03-31
PA Marabá,331.5,335.0,-5.58,2026-03-31
Alagoas,336.5,340.0,-4.15,2026-03-31
MA Oeste,326.5,330.0,-7.01,2026-03-31
SC,343.5,347.0,-2.15,2026-03-31
PR Noroeste,346.5,350.0,-1.29,2026-03-31
MT Sudeste,341.5,345.0,-2.72,2026-03-31
PA Redenção,322.0,325.0,-8.44,2026-03-31
BA Sul,319.0,322.0,-9.3,2026-04-01
RS Pelotas (kg),11.65,11.75,-0.86,2026-04-01
RS Oeste (kg),11.7,11.8,-0.43,2026-04-01
MS Três Lagoas,340.5,344.0,-3.0,2026-04-01
MS C. Grande,341.5,345.0,-2.72,2026-04-01
MS Dourados,344.5,348.0,-1.86,2026-04-01
MG Norte,336.5,340.0,-4.15,2026-04-01
GO Goiânia,333.5,337.0,-5.01,2026-04-01
MG Sul,326.5,330.0,-7.01,2026-04-01
MG B.Horizonte,328.5,332.0,-6.44,2026-04-01
MG Triângulo,341.5,345.0,-2.72,2026-04-01
SP Araçatuba,351.5,355.0,0.0,2026-04-01
BA Oeste,323.5,327.0,-7.87,2026-04-01
GO Reg. Sul,334.5,338.0,-4.72,2026-04-01
SP Barretos,351.5,355.0,0.0,2026-04-01
MT Norte,343.5,347.0,-2.15,2026-04-01
MT Cuiabá*,346.5,350.0,-1.29,2026-04-01
MT Sudoeste,344.5,348.0,-1.86,2026-04-01
Roraima,291.0,294.0,-17.17,2026-04-01
RJ,341.5,345.0,-2.72,2026-04-01
ES,317.0,320.0,-9.87,2026-04-01
Acre,292.0,295.0,-16.88,2026-04-01
TO Sul,326.5,330.0,-7.01,2026-04-01
RO Sudeste,312.0,315.0,-11.16,2026-04-01
TO Norte,326.5,330.0,-7.01,2026-04-01
PA Redenção,328.5,332.0,-6.44,2026-04-01
PA Marabá,336.5,340.0,-4.15,2026-04-01
Alagoas,336.5,340.0,-4.15,2026-04-01
MA Oeste,336.5,340.0,-4.15,2026-04-01
SC,343.5,347.0,-2.15,2026-04-01
PR Noroeste,348.5,352.0,-0.86,2026-04-01
MT Sudeste,346.5,350.0,-1.29,2026-04-01
PA Paragominas,341.5,345.0,-2.72,2026-04-01
MS Dourados,344.5,348.0,-1.86,2026-04-02
BA Sul,322.0,325.0,-8.44,2026-04-02
RS Pelotas (kg),11.65,11.75,-0.86,2026-04-02
RS Oeste (kg),11.7,11.8,-0.43,2026-04-02
MS Três Lagoas,341.5,345.0,-2.72,2026-04-02
MS C. Grande,343.5,347.0,-2.15,2026-04-02
GO Reg. Sul,334.5,338.0,-4.72,2026-04-02
BA Oeste,323.5,327.0,-7.87,2026-04-02
MG Sul,326.5,330.0,-7.01,2026-04-02
MG Norte,336.5,340.0,-4.15,2026-04-02
MG B.Horizonte,328.5,332.0,-6.44,2026-04-02
MG Triângulo,341.5,345.0,-2.72,2026-04-02
SP Araçatuba,351.5,355.0,0.0,2026-04-02
SP Barretos,351.5,355.0,0.0,2026-04-02
GO Goiânia,333.5,337.0,-5.01,2026-04-02
MT Norte,346.5,350.0,-1.29,2026-04-02
Roraima,291.0,294.0,-17.17,2026-04-02
MT Cuiabá*,346.5,350.0,-1.29,2026-04-02
RJ,341.5,345.0,-2.72,2026-04-02
ES,317.0,320.0,-9.87,2026-04-02
Acre,292.0,295.0,-16.88,2026-04-02
TO Norte,328.5,332.0,-6.44,2026-04-02
TO Sul,326.5,330.0,-7.01,2026-04-02
RO Sudeste,317.0,320.0,-9.87,2026-04-02
PA Paragominas,341.5,345.0,-2.72,2026-04-02
MT Sudoeste,344.5,348.0,-1.86,2026-04-02
PA Marabá,336.5,340.0,-4.15,2026-04-02
Alagoas,343.5,347.0,-2.15,2026-04-02
MA Oeste,336.5,340.0,-4.15,2026-04-02
SC,343.5,347.0,-2.15,2026-04-02
PR Noroeste,348.5,352.0,-0.86,2026-04-02
MT Sudeste,346.5,350.0,-1.29,2026-04-02
PA Redenção,328.5,332.0,-6.44,2026-04-02
BA Sul,321.0,325.0,-9.73,2026-04-03
RS Pelotas (kg),11.6,11.75,-2.26,2026-04-03
MS Três Lagoas,341.0,345.0,-4.09,2026-04-03
MS C. Grande,343.0,347.0,-3.53,2026-04-03
MS Dourados,347.0,351.0,-2.54,2026-04-03
GO Reg. Sul,336.0,340.0,-5.5,2026-04-03
MG Norte,336.0,340.0,-5.5,2026-04-03
MG Sul,326.0,330.0,-8.32,2026-04-03
BA Oeste,323.0,327.0,-9.17,2026-04-03
MG B.Horizonte,333.0,337.0,-6.35,2026-04-03
MG Triângulo,341.0,345.0,-4.09,2026-04-03
SP Araçatuba,355.5,360.0,0.0,2026-04-03
SP Barretos,355.5,360.0,0.0,2026-04-03
GO Goiânia,336.0,340.0,-5.5,2026-04-03
MT Sudoeste,348.5,353.0,-1.97,2026-04-03
RS Oeste (kg),11.65,11.8,-1.83,2026-04-03
MT Norte,346.0,350.0,-2.68,2026-04-03
MT Cuiabá*,346.0,350.0,-2.68,2026-04-03
Roraima,290.5,294.0,-18.34,2026-04-03
RJ,341.0,345.0,-4.09,2026-04-03
ES,319.0,323.0,-10.3,2026-04-03
Acre,296.5,300.0,-16.64,2026-04-03
TO Sul,328.0,332.0,-7.76,2026-04-03
RO Sudeste,316.0,320.0,-11.14,2026-04-03
TO Norte,330.0,334.0,-7.19,2026-04-03
PA Redenção,328.0,332.0,-7.76,2026-04-03
PA Marabá,336.0,340.0,-5.5,2026-04-03
Alagoas,343.0,347.0,-3.53,2026-04-03
MA Oeste,336.0,340.0,-5.5,2026-04-03
SC,343.0,347.0,-3.53,2026-04-03
PR Noroeste,347.5,352.0,-2.26,2026-04-03
MT Sudeste,346.0,350.0,-2.68,2026-04-03
PA Paragominas,341.0,345.0,-4.09,2026-04-03
MS C. Grande,343.0,347.0,-3.53,2026-04-04
BA Oeste,323.0,327.0,-9.17,2026-04-04
BA Sul,321.0,325.0,-9.73,2026-04-04
RS Pelotas (kg),11.6,11.75,-2.26,2026-04-04
RS Oeste (kg),11.65,11.8,-1.83,2026-04-04
MS Três Lagoas,341.0,345.0,-4.09,2026-04-04
MS Dourados,347.0,351.0,-2.54,2026-04-04
MT Norte,346.0,350.0,-2.68,2026-04-04
GO Goiânia,336.0,340.0,-5.5,2026-04-04
MG Sul,326.0,330.0,-8.32,2026-04-04
MG Norte,336.0,340.0,-5.5,2026-04-04
MG B.Horizonte,333.0,337.0,-6.35,2026-04-04
MG Triângulo,341.0,345.0,-4.09,2026-04-04
SP Araçatuba,355.5,360.0,0.0,2026-04-04
GO Reg. Sul,336.0,340.0,-5.5,2026-04-04
SP Barretos,355.5,360.0,0.0,2026-04-04
MT Sudoeste,348.5,353.0,-1.97,2026-04-04
MT Sudeste,346.0,350.0,-2.68,2026-04-04
Roraima,290.5,294.0,-18.34,2026-04-04
RJ,341.0,345.0,-4.09,2026-04-04
ES,319.0,323.0,-10.3,2026-04-04
Acre,296.5,300.0,-16.64,2026-04-04
TO Norte,330.0,334.0,-7.19,2026-04-04
TO Sul,328.0,332.0,-7.76,2026-04-04
RO Sudeste,316.0,320.0,-11.14,2026-04-04
MT Cuiabá*,346.0,350.0,-2.68,2026-04-04
PA Redenção,328.0,332.0,-7.76,2026-04-04
PA Marabá,336.0,340.0,-5.5,2026-04-04
Alagoas,343.0,347.0,-3.53,2026-04-04
MA Oeste,336.0,340.0,-5.5,2026-04-04
SC,343.0,347.0,-3.53,2026-04-04
PR Noroeste,347.5,352.0,-2.26,2026-04-04
PA Paragominas,341.0,345.0,-4.09,2026-04-04
BA Oeste,323.0,327.0,-9.17,2026-04-05
BA Sul,321.0,325.0,-9.73,2026-04-05
RS Pelotas (kg),11.6,11.75,-2.26,2026-04-05
RS Oeste (kg),11.65,11.8,-1.83,2026-04-05
MS Três Lagoas,341.0,345.0,-4.09,2026-04-05
MS C. Grande,343.0,347.0,-3.53,2026-04-05
MS Dourados,347.0,351.0,-2.54,2026-04-05
MG Sul,326.0,330.0,-8.32,2026-04-05
GO Goiânia,336.0,340.0,-5.5,2026-04-05
MG Norte,336.0,340.0,-5.5,2026-04-05
MG B.Horizonte,333.0,337.0,-6.35,2026-04-05
MG Triângulo,341.0,345.0,-4.09,2026-04-05
SP Araçatuba,355.5,360.0,0.0,2026-04-05
MT Norte,346.0,350.0,-2.68,2026-04-05
GO Reg. Sul,336.0,340.0,-5.5,2026-04-05
SP Barretos,355.5,360.0,0.0,2026-04-05
MT Sudoeste,348.5,353.0,-1.97,2026-04-05
MT Sudeste,346.0,350.0,-2.68,2026-04-05
MT Cuiabá*,346.0,350.0,-2.68,2026-04-05
Roraima,290.5,294.0,-18.34,2026-04-05
RJ,341.0,345.0,-4.09,2026-04-05
ES,319.0,323.0,-10.3,2026-04-05
Acre,296.5,300.0,-16.64,2026-04-05
TO Sul,328.0,332.0,-7.76,2026-04-05
RO Sudeste,316.0,320.0,-11.14,2026-04-05
TO Norte,330.0,334.0,-7.19,2026-04-05
PA Redenção,328.0,332.0,-7.76,2026-04-05
PA Marabá,336.0,340.0,-5.5,2026-04-05
Alagoas,343.0,347.0,-3.53,2026-04-05
MA Oeste,336.0,340.0,-5.5,2026-04-05
SC,343.0,347.0,-3.53,2026-04-05
PR Noroeste,347.5,352.0,-2.26,2026-04-05
PA Paragominas,341.0,345.0,-4.09,2026-04-05
MS C. Grande,343.0,347.0,-3.53,2026-04-06
BA Sul,321.0,325.0,-9.73,2026-04-06
RS Pelotas (kg),11.6,11.75,-2.26,2026-04-06
RS Oeste (kg),11.65,11.8,-1.83,2026-04-06
MS Três Lagoas,341.0,345.0,-4.09,2026-04-06
MS Dourados,347.0,351.0,-2.54,2026-04-06
BA Oeste,323.0,327.0,-9.17,2026-04-06
MG Sul,326.0,330.0,-8.32,2026-04-06
MG Norte,336.0,340.0,-5.5,2026-04-06
MG B.Horizonte,333.0,337.0,-6.35,2026-04-06
MG Triângulo,341.0,345.0,-4.09,2026-04-06
SP Araçatuba,355.5,360.0,0.0,2026-04-06
SP Barretos,355.5,360.0,0.0,2026-04-06
GO Goiânia,336.0,340.0,-5.5,2026-04-06
MT Norte,346.0,350.0,-2.68,2026-04-06
GO Reg. Sul,336.0,340.0,-5.5,2026-04-06
MT Cuiabá*,346.0,350.0,-2.68,2026-04-06
RJ,341.0,345.0,-4.09,2026-04-06
ES,319.0,323.0,-10.3,2026-04-06
Acre,296.5,300.0,-16.64,2026-04-06
TO Norte,330.0,334.0,-7.19,2026-04-06
TO Sul,328.0,332.0,-7.76,2026-04-06
RO Sudeste,316.0,320.0,-11.14,2026-04-06
PA Paragominas,341.0,345.0,-4.09,2026-04-06
MT Sudoeste,348.5,353.0,-1.97,2026-04-06
PA Redenção,328.0,332.0,-7.76,2026-04-06
PA Marabá,336.0,340.0,-5.5,2026-04-06
Alagoas,343.0,347.0,-3.53,2026-04-06
MA Oeste,336.0,340.0,-5.5,2026-04-06
SC,343.0,347.0,-3.53,2026-04-06
PR Noroeste,347.5,352.0,-2.26,2026-04-06
MT Sudeste,346.0,350.0,-2.68,2026-04-06
Roraima,290.5,294.0,-18.34,2026-04-06
BA Sul,321.0,325.0,-10.24,2026-04-07
RS Pelotas (kg),11.6,11.75,-2.81,2026-04-07
RS Oeste (kg),11.65,11.8,-2.38,2026-04-07
MS Três Lagoas,344.0,348.0,-3.79,2026-04-07
MS C. Grande,346.0,350.0,-3.23,2026-04-07
MS Dourados,347.0,351.0,-3.09,2026-04-07
GO Reg. Sul,336.0,340.0,-6.03,2026-04-07
MG B.Horizonte,336.0,340.0,-6.03,2026-04-07
MG Sul,326.0,330.0,-8.84,2026-04-07
MG Norte,336.0,340.0,-6.03,2026-04-07
MG Triângulo,341.0,345.0,-4.63,2026-04-07
SP Araçatuba,357.5,362.0,0.0,2026-04-07
SP Barretos,357.5,362.0,0.0,2026-04-07
BA Oeste,323.0,327.0,-9.68,2026-04-07
GO Goiânia,336.0,340.0,-6.03,2026-04-07
MT Norte,347.5,352.0,-2.81,2026-04-07
MT Sudoeste,350.5,355.0,-1.96,2026-04-07
MT Cuiabá*,347.5,352.0,-2.81,2026-04-07
RJ,341.0,345.0,-4.63,2026-04-07
ES,319.0,323.0,-10.8,2026-04-07
Acre,296.5,300.0,-17.11,2026-04-07
TO Norte,331.0,335.0,-7.43,2026-04-07
TO Sul,331.0,335.0,-7.43,2026-04-07
RO Sudeste,316.0,320.0,-11.64,2026-04-07
PA Paragominas,343.0,347.0,-4.07,2026-04-07
Roraima,290.5,294.0,-18.79,2026-04-07
PA Marabá,336.0,340.0,-6.03,2026-04-07
Alagoas,346.0,350.0,-3.23,2026-04-07
MA Oeste,341.0,345.0,-4.63,2026-04-07
SC,346.0,350.0,-3.23,2026-04-07
PR Noroeste,347.5,352.0,-2.81,2026-04-07
MT Sudeste,350.5,355.0,-1.96,2026-04-07
PA Redenção,328.0,332.0,-8.27,2026-04-07
BA Sul,321.0,325.0,-10.24,2026-04-08
RS Pelotas (kg),11.6,11.75,-2.81,2026-04-08
RS Oeste (kg),11.65,11.8,-2.38,2026-04-08
MS Três Lagoas,346.0,350.0,-3.23,2026-04-08
MS C. Grande,347.5,352.0,-2.81,2026-04-08
MS Dourados,348.5,353.0,-2.52,2026-04-08
GO Reg. Sul,336.0,340.0,-6.03,2026-04-08
MG Norte,336.0,340.0,-6.03,2026-04-08
MG Sul,331.0,335.0,-7.43,2026-04-08
MG B.Horizonte,336.0,340.0,-6.03,2026-04-08
MG Triângulo,341.0,345.0,-4.63,2026-04-08
SP Araçatuba,357.5,362.0,0.0,2026-04-08
SP Barretos,357.5,362.0,0.0,2026-04-08
BA Oeste,326.0,330.0,-8.84,2026-04-08
GO Goiânia,338.0,342.0,-5.47,2026-04-08
MT Norte,349.5,354.0,-2.24,2026-04-08
Roraima,290.5,294.0,-18.79,2026-04-08
MT Cuiabá*,350.5,355.0,-1.96,2026-04-08
MT Sudoeste,352.5,357.0,-1.4,2026-04-08
RJ,341.0,345.0,-4.63,2026-04-08
ES,319.0,323.0,-10.8,2026-04-08
Acre,296.5,300.0,-17.11,2026-04-08
TO Sul,336.0,340.0,-6.03,2026-04-08
RO Sudeste,318.0,322.0,-11.08,2026-04-08
PA Paragominas,343.0,347.0,-4.07,2026-04-08
TO Norte,333.0,337.0,-6.87,2026-04-08
PA Marabá,338.0,342.0,-5.47,2026-04-08
Alagoas,346.0,350.0,-3.23,2026-04-08
MA Oeste,341.0,345.0,-4.63,2026-04-08
SC,346.0,350.0,-3.23,2026-04-08
PR Noroeste,347.5,352.0,-2.81,2026-04-08
MT Sudeste,350.5,355.0,-1.96,2026-04-08
PA Redenção,334.0,338.0,-6.59,2026-04-08
MS Dourados,348.5,353.0,-2.52,2026-04-09
BA Sul,321.0,325.0,-10.24,2026-04-09
RS Pelotas (kg),11.6,11.75,-2.81,2026-04-09
RS Oeste (kg),11.65,11.8,-2.38,2026-04-09
MS Três Lagoas,347.5,352.0,-2.81,2026-04-09
MS C. Grande,347.5,352.0,-2.81,2026-04-09
GO Reg. Sul,338.0,342.0,-5.47,2026-04-09
BA Oeste,326.0,330.0,-8.84,2026-04-09
MG Sul,331.0,335.0,-7.43,2026-04-09
MG Norte,336.0,340.0,-6.03,2026-04-09
MG B.Horizonte,336.0,340.0,-6.03,2026-04-09
MG Triângulo,341.0,345.0,-4.63,2026-04-09
SP Araçatuba,357.5,362.0,0.0,2026-04-09
SP Barretos,357.5,362.0,0.0,2026-04-09
GO Goiânia,341.0,345.0,-4.63,2026-04-09
MT Norte,350.5,355.0,-1.96,2026-04-09
Roraima,290.5,294.0,-18.79,2026-04-09
MT Cuiabá*,352.5,357.0,-1.4,2026-04-09
RJ,341.0,345.0,-4.63,2026-04-09
ES,319.0,323.0,-10.8,2026-04-09
Acre,296.5,300.0,-17.11,2026-04-09
TO Norte,336.0,340.0,-6.03,2026-04-09
TO Sul,340.0,344.0,-4.91,2026-04-09
RO Sudeste,321.0,325.0,-10.24,2026-04-09
PA Paragominas,344.0,348.0,-3.79,2026-04-09
MT Sudoeste,352.5,357.0,-1.4,2026-04-09
PA Marabá,341.0,345.0,-4.63,2026-04-09
Alagoas,346.0,350.0,-3.23,2026-04-09
MA Oeste,341.0,345.0,-4.63,2026-04-09
SC,350.5,355.0,-1.96,2026-04-09
PR Noroeste,347.5,352.0,-2.81,2026-04-09
MT Sudeste,350.5,355.0,-1.96,2026-04-09
PA Redenção,339.0,343.0,-5.19,2026-04-09
BA Sul,321.0,325.0,-10.99,2026-04-10
RS Pelotas (kg),11.6,11.75,-3.62,2026-04-10
RS Oeste (kg),11.65,11.8,-3.2,2026-04-10
MS Três Lagoas,347.5,352.0,-3.62,2026-04-10
MS C. Grande,350.5,355.0,-2.78,2026-04-10
MS Dourados,348.5,353.0,-3.34,2026-04-10
MG Norte,336.0,340.0,-6.82,2026-04-10
GO Goiânia,343.0,347.0,-4.87,2026-04-10
MG Sul,331.0,335.0,-8.21,2026-04-10
MG B.Horizonte,336.0,340.0,-6.82,2026-04-10
MG Triângulo,341.0,345.0,-5.42,2026-04-10
SP Araçatuba,360.5,365.0,0.0,2026-04-10
BA Oeste,326.0,330.0,-9.6,2026-04-10
GO Reg. Sul,338.0,342.0,-6.26,2026-04-10
SP Barretos,360.5,365.0,0.0,2026-04-10
MT Norte,352.5,357.0,-2.23,2026-04-10
MT Cuiabá*,355.5,360.0,-1.39,2026-04-10
MT Sudoeste,355.5,360.0,-1.39,2026-04-10
Roraima,290.5,294.0,-19.47,2026-04-10
RJ,341.0,345.0,-5.42,2026-04-10
ES,319.0,323.0,-11.54,2026-04-10
Acre,296.5,300.0,-17.8,2026-04-10
TO Sul,340.0,344.0,-5.7,2026-04-10
RO Sudeste,321.0,325.0,-10.99,2026-04-10
TO Norte,336.0,340.0,-6.82,2026-04-10
PA Redenção,341.0,345.0,-5.42,2026-04-10
PA Marabá,341.0,345.0,-5.42,2026-04-10
Alagoas,346.0,350.0,-4.03,2026-04-10
MA Oeste,341.0,345.0,-5.42,2026-04-10
SC,350.5,355.0,-2.78,2026-04-10
PR Noroeste,347.5,352.0,-3.62,2026-04-10
MT Sudeste,352.5,357.0,-2.23,2026-04-10
PA Paragominas,344.0,348.0,-4.59,2026-04-10
MS Dourados,348.5,353.0,-3.34,2026-04-11
BA Sul,321.0,325.0,-10.99,2026-04-11
RS Pelotas (kg),11.6,11.75,-3.62,2026-04-11
RS Oeste (kg),11.65,11.8,-3.2,2026-04-11
MS Três Lagoas,347.5,352.0,-3.62,2026-04-11
MS C. Grande,350.5,355.0,-2.78,2026-04-11
GO Reg. Sul,338.0,342.0,-6.26,2026-04-11
BA Oeste,328.0,332.0,-9.04,2026-04-11
MG Sul,331.0,335.0,-8.21,2026-04-11
MG Norte,336.0,340.0,-6.82,2026-04-11
MG B.Horizonte,338.0,342.0,-6.26,2026-04-11
MG Triângulo,343.0,347.0,-4.87,2026-04-11
SP Araçatuba,360.5,365.0,0.0,2026-04-11
SP Barretos,360.5,365.0,0.0,2026-04-11
GO Goiânia,343.0,347.0,-4.87,2026-04-11
MT Norte,355.5,360.0,-1.39,2026-04-11
MT Sudoeste,355.5,360.0,-1.39,2026-04-11
MT Cuiabá*,355.5,360.0,-1.39,2026-04-11
RJ,341.0,345.0,-5.42,2026-04-11
ES,321.0,325.0,-10.99,2026-04-11
Acre,298.5,302.0,-17.25,2026-04-11
TO Norte,341.0,345.0,-5.42,2026-04-11
TO Sul,340.0,344.0,-5.7,2026-04-11
RO Sudeste,321.0,325.0,-10.99,2026-04-11
PA Paragominas,346.0,350.0,-4.03,2026-04-11
Roraima,290.5,294.0,-19.47,2026-04-11
PA Marabá,343.0,347.0,-4.87,2026-04-11
Alagoas,346.0,350.0,-4.03,2026-04-11
MA Oeste,343.0,347.0,-4.87,2026-04-11
SC,350.5,355.0,-2.78,2026-04-11
PR Noroeste,350.5,355.0,-2.78,2026-04-11
MT Sudeste,352.5,357.0,-2.23,2026-04-11
PA Redenção,341.0,345.0,-5.42,2026-04-11
RS Pelotas (kg),11.6,11.75,-3.62,2026-04-12
RS Oeste (kg),11.65,11.8,-3.2,2026-04-12
MS Três Lagoas,347.5,352.0,-3.62,2026-04-12
MS C. Grande,350.5,355.0,-2.78,2026-04-12
MS Dourados,348.5,353.0,-3.34,2026-04-12
GO Reg. Sul,338.0,342.0,-6.26,2026-04-12
MG B.Horizonte,338.0,342.0,-6.26,2026-04-12
MG Sul,331.0,335.0,-8.21,2026-04-12
MG Norte,336.0,340.0,-6.82,2026-04-12
MG Triângulo,343.0,347.0,-4.87,2026-04-12
SP Araçatuba,360.5,365.0,0.0,2026-04-12
SP Barretos,360.5,365.0,0.0,2026-04-12
BA Sul,321.0,325.0,-10.99,2026-04-12
GO Goiânia,343.0,347.0,-4.87,2026-04-12
BA Oeste,328.0,332.0,-9.04,2026-04-12
MT Norte,355.5,360.0,-1.39,2026-04-12
Roraima,290.5,294.0,-19.47,2026-04-12
MT Sudoeste,355.5,360.0,-1.39,2026-04-12
RJ,341.0,345.0,-5.42,2026-04-12
ES,321.0,325.0,-10.99,2026-04-12
Acre,298.5,302.0,-17.25,2026-04-12
TO Norte,341.0,345.0,-5.42,2026-04-12
RO Sudeste,321.0,325.0,-10.99,2026-04-12
PA Paragominas,346.0,350.0,-4.03,2026-04-12
TO Sul,340.0,344.0,-5.7,2026-04-12
PA Marabá,343.0,347.0,-4.87,2026-04-12
Alagoas,346.0,350.0,-4.03,2026-04-12
MA Oeste,343.0,347.0,-4.87,2026-04-12
SC,350.5,355.0,-2.78,2026-04-12
PR Noroeste,350.5,355.0,-2.78,2026-04-12
MT Sudeste,352.5,357.0,-2.23,2026-04-12
MT Cuiabá*,355.5,360.0,-1.39,2026-04-12
PA Redenção,341.0,345.0,-5.42,2026-04-12
MS Dourados,348.5,353.0,-3.34,2026-04-14
BA Sul,323.0,327.0,-10.43,2026-04-14
RS Pelotas (kg),11.6,11.75,-3.62,2026-04-14
RS Oeste (kg),11.6,11.75,-3.62,2026-04-14
MS Três Lagoas,350.5,355.0,-2.78,2026-04-14
MS C. Grande,350.5,355.0,-2.78,2026-04-14
GO Reg. Sul,341.0,345.0,-5.42,2026-04-14
BA Oeste,331.0,335.0,-8.21,2026-04-14
MG Sul,331.0,335.0,-8.21,2026-04-14
MG Norte,336.0,340.0,-6.82,2026-04-14
MG B.Horizonte,338.0,342.0,-6.26,2026-04-14
MG Triângulo,346.0,350.0,-4.03,2026-04-14
