praca,preco_vista,preco_30d,data
MG Norte,317.0,320.0,2026-03-31
MG B.Horizonte,307.0,310.0,2026-03-31
MG Triângulo,317.0,320.0,2026-03-31
SP Araçatuba,333.5,337.0,2026-03-31
SP Barretos,333.5,337.0,2026-03-31
GO Goiânia,312.0,315.0,2026-03-31
MT Norte,323.5,327.0,2026-03-31
Roraima,272.5,275.0,2026-03-31
MT Cuiabá*,322.5,326.0,2026-03-31
RJ,317.0,320.0,2026-03-31
ES,308.0,311.0,2026-03-31
Acre,277.0,280.0,2026-03-31
TO Norte,312.0,315.0,2026-03-31
TO Sul,305.0,308.0,2026-03-31
RO Sudeste,299.0,302.0,2026-03-31
PA Paragominas,317.0,320.0,2026-03-31
MT Sudoeste,331.5,335.0,2026-03-31
PA Marabá,314.0,317.0,2026-03-31
Alagoas,331.5,335.0,2026-03-31
MA Oeste,302.0,305.0,2026-03-31
SC,331.5,335.0,2026-03-31
PR Noroeste,338.5,342.0,2026-03-31
MT Sudeste,322.0,325.0,2026-03-31
PA Redenção,312.0,315.0,2026-03-31
BA Sul,297.0,300.0,2026-04-01
RS Pelotas (kg),11.15,11.25,2026-04-01
RS Oeste (kg),11.3,11.4,2026-04-01
MS Três Lagoas,324.5,328.0,2026-04-01
MS C. Grande,326.5,330.0,2026-04-01
MS Dourados,324.5,328.0,2026-04-01
MG Norte,322.0,325.0,2026-04-01
GO Goiânia,317.0,320.0,2026-04-01
MG Sul,317.0,320.0,2026-04-01
MG B.Horizonte,309.0,312.0,2026-04-01
MG Triângulo,326.5,330.0,2026-04-01
SP Araçatuba,336.5,340.0,2026-04-01
BA Oeste,310.0,313.0,2026-04-01
GO Reg. Sul,317.0,320.0,2026-04-01
SP Barretos,336.5,340.0,2026-04-01
MT Norte,323.5,327.0,2026-04-01
MT Cuiabá*,322.5,326.0,2026-04-01
MT Sudoeste,331.5,335.0,2026-04-01
Roraima,272.5,275.0,2026-04-01
RJ,317.0,320.0,2026-04-01
ES,308.0,311.0,2026-04-01
Acre,280.0,283.0,2026-04-01
TO Sul,309.0,312.0,2026-04-01
RO Sudeste,302.0,305.0,2026-04-01
TO Norte,312.0,315.0,2026-04-01
PA Redenção,317.0,320.0,2026-04-01
PA Marabá,314.0,317.0,2026-04-01
Alagoas,331.5,335.0,2026-04-01
MA Oeste,307.0,310.0,2026-04-01
SC,331.5,335.0,2026-04-01
PR Noroeste,341.5,345.0,2026-04-01
MT Sudeste,326.5,330.0,2026-04-01
PA Paragominas,320.0,323.0,2026-04-01
MS Dourados,326.5,330.0,2026-04-02
BA Sul,297.0,300.0,2026-04-02
RS Pelotas (kg),11.15,11.25,2026-04-02
RS Oeste (kg),11.2,11.3,2026-04-02
MS Três Lagoas,325.5,329.0,2026-04-02
MS C. Grande,326.5,330.0,2026-04-02
GO Reg. Sul,322.0,325.0,2026-04-02
BA Oeste,310.0,313.0,2026-04-02
MG Sul,317.0,320.0,2026-04-02
MG Norte,322.0,325.0,2026-04-02
MG B.Horizonte,309.0,312.0,2026-04-02
MG Triângulo,326.5,330.0,2026-04-02
SP Araçatuba,336.5,340.0,2026-04-02
SP Barretos,336.5,340.0,2026-04-02
GO Goiânia,317.0,320.0,2026-04-02
MT Norte,323.5,327.0,2026-04-02
Roraima,272.5,275.0,2026-04-02
MT Cuiabá*,326.5,330.0,2026-04-02
RJ,317.0,320.0,2026-04-02
ES,311.0,314.0,2026-04-02
Acre,280.0,283.0,2026-04-02
TO Norte,312.0,315.0,2026-04-02
TO Sul,309.0,312.0,2026-04-02
RO Sudeste,307.0,310.0,2026-04-02
PA Paragominas,322.0,325.0,2026-04-02
MT Sudoeste,331.5,335.0,2026-04-02
PA Marabá,314.0,317.0,2026-04-02
Alagoas,331.5,335.0,2026-04-02
MA Oeste,307.0,310.0,2026-04-02
SC,331.5,335.0,2026-04-02
PR Noroeste,341.5,345.0,2026-04-02
MT Sudeste,326.5,330.0,2026-04-02
PA Redenção,317.0,320.0,2026-04-02
BA Sul,296.5,300.0,2026-04-03
RS Pelotas (kg),11.1,11.25,2026-04-03
MS Três Lagoas,327.0,331.0,2026-04-03
MS C. Grande,328.0,332.0,2026-04-03
MS Dourados,329.0,333.0,2026-04-03
GO Reg. Sul,326.0,330.0,2026-04-03
MG Norte,321.0,325.0,2026-04-03
MG Sul,316.0,320.0,2026-04-03
BA Oeste,309.0,313.0,2026-04-03
MG B.Horizonte,316.0,320.0,2026-04-03
MG Triângulo,326.0,330.0,2026-04-03
SP Araçatuba,338.0,342.0,2026-04-03
SP Barretos,338.0,342.0,2026-04-03
GO Goiânia,321.0,325.0,2026-04-03
MT Norte,323.0,327.0,2026-04-03
RS Oeste (kg),11.15,11.3,2026-04-03
MT Cuiabá*,326.0,330.0,2026-04-03
RJ,316.0,320.0,2026-04-03
ES,310.0,314.0,2026-04-03
Acre,279.5,283.0,2026-04-03
TO Norte,311.0,315.0,2026-04-03
TO Sul,308.0,312.0,2026-04-03
RO Sudeste,306.0,310.0,2026-04-03
PA Paragominas,321.0,325.0,2026-04-03
Roraima,271.5,275.0,2026-04-03
PA Marabá,313.0,317.0,2026-04-03
PA Redenção,316.0,320.0,2026-04-03
MT Sudeste,326.0,330.0,2026-04-03
PR Noroeste,341.0,345.0,2026-04-03
MT Sudoeste,336.0,340.0,2026-04-03
MA Oeste,316.0,320.0,2026-04-03
Alagoas,331.0,335.0,2026-04-03
SC,331.0,335.0,2026-04-03
BA Sul,296.5,300.0,2026-04-04
RS Pelotas (kg),11.1,11.25,2026-04-04
RS Oeste (kg),11.15,11.3,2026-04-04
MS Três Lagoas,327.0,331.0,2026-04-04
MS C. Grande,328.0,332.0,2026-04-04
MS Dourados,329.0,333.0,2026-04-04
GO Goiânia,321.0,325.0,2026-04-04
MG Sul,316.0,320.0,2026-04-04
MG B.Horizonte,316.0,320.0,2026-04-04
MG Triângulo,326.0,330.0,2026-04-04
SP Araçatuba,338.0,342.0,2026-04-04
SP Barretos,338.0,342.0,2026-04-04
BA Oeste,309.0,313.0,2026-04-04
GO Reg. Sul,326.0,330.0,2026-04-04
MG Norte,321.0,325.0,2026-04-04
MT Norte,323.0,327.0,2026-04-04
MT Cuiabá*,326.0,330.0,2026-04-04
Roraima,271.5,275.0,2026-04-04
RJ,316.0,320.0,2026-04-04
ES,310.0,314.0,2026-04-04
Acre,279.5,283.0,2026-04-04
TO Norte,311.0,315.0,2026-04-04
TO Sul,308.0,312.0,2026-04-04
RO Sudeste,306.0,310.0,2026-04-04
MT Sudoeste,336.0,340.0,2026-04-04
PA Redenção,316.0,320.0,2026-04-04
PA Marabá,313.0,317.0,2026-04-04
Alagoas,331.0,335.0,2026-04-04
MA Oeste,316.0,320.0,2026-04-04
SC,331.0,335.0,2026-04-04
PR Noroeste,341.0,345.0,2026-04-04
MT Sudeste,326.0,330.0,2026-04-04
PA Paragominas,321.0,325.0,2026-04-04
BA Oeste,309.0,313.0,2026-04-05
BA Sul,296.5,300.0,2026-04-05
RS Pelotas (kg),11.1,11.25,2026-04-05
RS Oeste (kg),11.15,11.3,2026-04-05
MS Três Lagoas,327.0,331.0,2026-04-05
MS C. Grande,328.0,332.0,2026-04-05
MS Dourados,329.0,333.0,2026-04-05
MG Norte,321.0,325.0,2026-04-05
GO Goiânia,321.0,325.0,2026-04-05
MG Sul,316.0,320.0,2026-04-05
MG B.Horizonte,316.0,320.0,2026-04-05
MG Triângulo,326.0,330.0,2026-04-05
SP Araçatuba,338.0,342.0,2026-04-05
MT Norte,323.0,327.0,2026-04-05
GO Reg. Sul,326.0,330.0,2026-04-05
SP Barretos,338.0,342.0,2026-04-05
MT Sudoeste,336.0,340.0,2026-04-05
MT Sudeste,326.0,330.0,2026-04-05
MT Cuiabá*,326.0,330.0,2026-04-05
Roraima,271.5,275.0,2026-04-05
RJ,316.0,320.0,2026-04-05
ES,310.0,314.0,2026-04-05
TO Norte,311.0,315.0,2026-04-05
TO Sul,308.0,312.0,2026-04-05
RO Sudeste,306.0,310.0,2026-04-05
Acre,279.5,283.0,2026-04-05
PA Redenção,316.0,320.0,2026-04-05
PA Marabá,313.0,317.0,2026-04-05
Alagoas,331.0,335.0,2026-04-05
MA Oeste,316.0,320.0,2026-04-05
SC,331.0,335.0,2026-04-05
PR Noroeste,341.0,345.0,2026-04-05
PA Paragominas,321.0,325.0,2026-04-05
MS Dourados,329.0,333.0,2026-04-06
BA Sul,296.5,300.0,2026-04-06
RS Pelotas (kg),11.1,11.25,2026-04-06
RS Oeste (kg),11.15,11.3,2026-04-06
MS Três Lagoas,327.0,331.0,2026-04-06
MS C. Grande,328.0,332.0,2026-04-06
GO Reg. Sul,326.0,330.0,2026-04-06
BA Oeste,309.0,313.0,2026-04-06
MG Sul,316.0,320.0,2026-04-06
MG Norte,321.0,325.0,2026-04-06
MG B.Horizonte,316.0,320.0,2026-04-06
MG Triângulo,326.0,330.0,2026-04-06
SP Araçatuba,338.0,342.0,2026-04-06
SP Barretos,338.0,342.0,2026-04-06
GO Goiânia,321.0,325.0,2026-04-06
MT Norte,323.0,327.0,2026-04-06
Roraima,271.5,275.0,2026-04-06
MT Cuiabá*,326.0,330.0,2026-04-06
RJ,316.0,320.0,2026-04-06
ES,310.0,314.0,2026-04-06
Acre,279.5,283.0,2026-04-06
TO Norte,311.0,315.0,2026-04-06
TO Sul,308.0,312.0,2026-04-06
RO Sudeste,306.0,310.0,2026-04-06
PA Paragominas,321.0,325.0,2026-04-06
MT Sudoeste,336.0,340.0,2026-04-06
PA Marabá,313.0,317.0,2026-04-06
Alagoas,331.0,335.0,2026-04-06
MA Oeste,316.0,320.0,2026-04-06
SC,331.0,335.0,2026-04-06
PR Noroeste,341.0,345.0,2026-04-06
MT Sudeste,326.0,330.0,2026-04-06
PA Redenção,316.0,320.0,2026-04-06
BA Sul,296.5,300.0,2026-04-07
RS Pelotas (kg),11.1,11.25,2026-04-07
MS Três Lagoas,327.0,331.0,2026-04-07
MS C. Grande,331.0,335.0,2026-04-07
MS Dourados,331.0,335.0,2026-04-07
GO Reg. Sul,326.0,330.0,2026-04-07
MG B.Horizonte,318.0,322.0,2026-04-07
MG Sul,316.0,320.0,2026-04-07
MG Norte,321.0,325.0,2026-04-07
BA Oeste,309.0,313.0,2026-04-07
MG Triângulo,326.0,330.0,2026-04-07
SP Araçatuba,338.0,342.0,2026-04-07
SP Barretos,338.0,342.0,2026-04-07
GO Goiânia,321.0,325.0,2026-04-07
MT Norte,326.0,330.0,2026-04-07
RS Oeste (kg),11.25,11.4,2026-04-07
MT Cuiabá*,331.0,335.0,2026-04-07
MT Sudoeste,336.0,340.0,2026-04-07
RJ,318.0,322.0,2026-04-07
ES,310.0,314.0,2026-04-07
Acre,279.5,283.0,2026-04-07
TO Norte,311.0,315.0,2026-04-07
TO Sul,313.0,317.0,2026-04-07
RO Sudeste,308.0,312.0,2026-04-07
PA Paragominas,321.0,325.0,2026-04-07
Roraima,271.5,275.0,2026-04-07
PA Marabá,316.0,320.0,2026-04-07
Alagoas,331.0,335.0,2026-04-07
MA Oeste,316.0,320.0,2026-04-07
SC,331.0,335.0,2026-04-07
PR Noroeste,341.0,345.0,2026-04-07
MT Sudeste,326.0,330.0,2026-04-07
PA Redenção,316.0,320.0,2026-04-07
BA Sul,301.5,305.0,2026-04-08
RS Pelotas (kg),11.15,11.3,2026-04-08
RS Oeste (kg),11.25,11.4,2026-04-08
MS Três Lagoas,327.0,331.0,2026-04-08
MS C. Grande,331.0,335.0,2026-04-08
MS Dourados,336.0,340.0,2026-04-08
GO Reg. Sul,326.0,330.0,2026-04-08
MG Norte,321.0,325.0,2026-04-08
MG Sul,316.0,320.0,2026-04-08
MG B.Horizonte,321.0,325.0,2026-04-08
MG Triângulo,326.0,330.0,2026-04-08
SP Araçatuba,338.0,342.0,2026-04-08
SP Barretos,338.0,342.0,2026-04-08
BA Oeste,309.0,313.0,2026-04-08
GO Goiânia,321.0,325.0,2026-04-08
MT Norte,331.0,335.0,2026-04-08
TO Sul,316.0,320.0,2026-04-08
MT Cuiabá*,336.0,340.0,2026-04-08
MT Sudoeste,338.0,342.0,2026-04-08
RJ,318.0,322.0,2026-04-08
ES,310.0,314.0,2026-04-08
Acre,281.5,285.0,2026-04-08
TO Norte,316.0,320.0,2026-04-08
RO Sudeste,308.0,312.0,2026-04-08
PA Paragominas,321.0,325.0,2026-04-08
Roraima,271.5,275.0,2026-04-08
PA Marabá,318.0,322.0,2026-04-08
Alagoas,331.0,335.0,2026-04-08
MA Oeste,316.0,320.0,2026-04-08
SC,331.0,335.0,2026-04-08
PR Noroeste,341.0,345.0,2026-04-08
MT Sudeste,331.0,335.0,2026-04-08
PA Redenção,318.0,322.0,2026-04-08
BA Sul,301.5,305.0,2026-04-09
RS Pelotas (kg),11.15,11.3,2026-04-09
RS Oeste (kg),11.25,11.4,2026-04-09
MS Três Lagoas,331.0,335.0,2026-04-09
MS C. Grande,333.0,337.0,2026-04-09
MS Dourados,336.0,340.0,2026-04-09
GO Reg. Sul,328.0,332.0,2026-04-09
MG Norte,324.0,328.0,2026-04-09
MG Sul,316.0,320.0,2026-04-09
MG B.Horizonte,321.0,325.0,2026-04-09
MG Triângulo,326.0,330.0,2026-04-09
SP Araçatuba,338.0,342.0,2026-04-09
SP Barretos,338.0,342.0,2026-04-09
BA Oeste,309.0,313.0,2026-04-09
GO Goiânia,323.0,327.0,2026-04-09
MT Norte,331.0,335.0,2026-04-09
TO Sul,321.0,325.0,2026-04-09
MT Cuiabá*,336.0,340.0,2026-04-09
RJ,318.0,322.0,2026-04-09
ES,310.0,314.0,2026-04-09
Acre,281.5,285.0,2026-04-09
TO Norte,318.0,322.0,2026-04-09
Roraima,271.5,275.0,2026-04-09
RO Sudeste,311.0,315.0,2026-04-09
PA Paragominas,324.0,328.0,2026-04-09
MT Sudoeste,338.0,342.0,2026-04-09
PA Marabá,321.0,325.0,2026-04-09
Alagoas,331.0,335.0,2026-04-09
MA Oeste,318.0,322.0,2026-04-09
SC,331.0,335.0,2026-04-09
PR Noroeste,341.0,345.0,2026-04-09
MT Sudeste,333.0,337.0,2026-04-09
PA Redenção,321.0,325.0,2026-04-09
BA Sul,301.5,305.0,2026-04-10
RS Pelotas (kg),11.15,11.3,2026-04-10
RS Oeste (kg),11.3,11.45,2026-04-10
MS Três Lagoas,333.0,337.0,2026-04-10
MS C. Grande,333.0,337.0,2026-04-10
MS Dourados,336.0,340.0,2026-04-10
MG Norte,324.0,328.0,2026-04-10
GO Goiânia,323.0,327.0,2026-04-10
MG Sul,316.0,320.0,2026-04-10
MG B.Horizonte,321.0,325.0,2026-04-10
MG Triângulo,328.0,332.0,2026-04-10
SP Araçatuba,338.0,342.0,2026-04-10
BA Oeste,309.0,313.0,2026-04-10
GO Reg. Sul,331.0,335.0,2026-04-10
SP Barretos,338.0,342.0,2026-04-10
MT Norte,333.0,337.0,2026-04-10
MT Cuiabá*,336.0,340.0,2026-04-10
MT Sudoeste,343.0,347.0,2026-04-10
Roraima,271.5,275.0,2026-04-10
RJ,318.0,322.0,2026-04-10
ES,310.0,314.0,2026-04-10
Acre,281.5,285.0,2026-04-10
TO Sul,321.0,325.0,2026-04-10
RO Sudeste,311.0,315.0,2026-04-10
TO Norte,318.0,322.0,2026-04-10
PA Redenção,321.0,325.0,2026-04-10
PA Marabá,321.0,325.0,2026-04-10
Alagoas,331.0,335.0,2026-04-10
MA Oeste,318.0,322.0,2026-04-10
SC,331.0,335.0,2026-04-10
PR Noroeste,341.0,345.0,2026-04-10
MT Sudeste,336.0,340.0,2026-04-10
PA Paragominas,324.0,328.0,2026-04-10
MS Dourados,338.0,342.0,2026-04-11
BA Sul,301.5,305.0,2026-04-11
RS Pelotas (kg),11.15,11.3,2026-04-11
RS Oeste (kg),11.3,11.45,2026-04-11
MS Três Lagoas,333.0,337.0,2026-04-11
MS C. Grande,336.0,340.0,2026-04-11
GO Reg. Sul,331.0,335.0,2026-04-11
SP Barretos,341.0,345.0,2026-04-11
MG Sul,316.0,320.0,2026-04-11
MG Norte,324.0,328.0,2026-04-11
BA Oeste,311.0,315.0,2026-04-11
MG B.Horizonte,321.0,325.0,2026-04-11
MG Triângulo,328.0,332.0,2026-04-11
SP Araçatuba,341.0,345.0,2026-04-11
GO Goiânia,326.0,330.0,2026-04-11
MT Norte,336.0,340.0,2026-04-11
TO Norte,321.0,325.0,2026-04-11
MT Cuiabá*,336.0,340.0,2026-04-11
MT Sudoeste,343.0,347.0,2026-04-11
RJ,321.0,325.0,2026-04-11
ES,311.0,315.0,2026-04-11
Acre,283.5,287.0,2026-04-11
TO Sul,321.0,325.0,2026-04-11
RO Sudeste,311.0,315.0,2026-04-11
PA Paragominas,324.0,328.0,2026-04-11
Roraima,271.5,275.0,2026-04-11
PA Marabá,323.0,327.0,2026-04-11
PA Redenção,323.0,327.0,2026-04-11
PR Noroeste,341.0,345.0,2026-04-11
MT Sudeste,336.0,340.0,2026-04-11
MA Oeste,318.0,322.0,2026-04-11
Alagoas,331.0,335.0,2026-04-11
SC,336.0,340.0,2026-04-11
BA Oeste,311.0,315.0,2026-04-12
BA Sul,301.5,305.0,2026-04-12
RS Pelotas (kg),11.15,11.3,2026-04-12
MS Três Lagoas,333.0,337.0,2026-04-12
MS Dourados,338.0,342.0,2026-04-12
GO Reg. Sul,331.0,335.0,2026-04-12
GO Goiânia,326.0,330.0,2026-04-12
MG Sul,316.0,320.0,2026-04-12
MG Norte,324.0,328.0,2026-04-12
MG B.Horizonte,321.0,325.0,2026-04-12
MG Triângulo,328.0,332.0,2026-04-12
SP Araçatuba,341.0,345.0,2026-04-12
SP Barretos,341.0,345.0,2026-04-12
MT Norte,336.0,340.0,2026-04-12
MT Sudoeste,343.0,347.0,2026-04-12
MS C. Grande,336.0,340.0,2026-04-12
MT Sudeste,336.0,340.0,2026-04-12
MT Cuiabá*,336.0,340.0,2026-04-12
RJ,321.0,325.0,2026-04-12
ES,311.0,315.0,2026-04-12
Acre,283.5,287.0,2026-04-12
TO Norte,321.0,325.0,2026-04-12
TO Sul,321.0,325.0,2026-04-12
RO Sudeste,311.0,315.0,2026-04-12
Roraima,271.5,275.0,2026-04-12
PA Redenção,323.0,327.0,2026-04-12
PA Paragominas,324.0,328.0,2026-04-12
PR Noroeste,341.0,345.0,2026-04-12
SC,336.0,340.0,2026-04-12
RS Oeste (kg),11.3,11.45,2026-04-12
Alagoas,331.0,335.0,2026-04-12
PA Marabá,323.0,327.0,2026-04-12
MA Oeste,318.0,322.0,2026-04-12
MT Norte,336.0,340.0,2026-04-14
BA Oeste,313.0,317.0,2026-04-14
BA Sul,301.5,305.0,2026-04-14
RS Pelotas (kg),11.15,11.3,2026-04-14
SP Barretos,341.0,345.0,2026-04-14
MS Três Lagoas,333.0,337.0,2026-04-14
MS C. Grande,336.0,340.0,2026-04-14
GO Reg. Sul,331.0,335.0,2026-04-14
GO Goiânia,326.0,330.0,2026-04-14
MG Norte,324.0,328.0,2026-04-14
MG B.Horizonte,321.0,325.0,2026-04-14
MG Triângulo,328.0,332.0,2026-04-14
SP Araçatuba,341.0,345.0,2026-04-14
MS Dourados,338.0,342.0,2026-04-14
MG Sul,316.0,320.0,2026-04-14
RS Oeste (kg),11.3,11.45,2026-04-14
MT Sudeste,336.0,340.0,2026-04-14
MT Cuiabá*,336.0,340.0,2026-04-14
Roraima,271.5,275.0,2026-04-14
RJ,321.0,325.0,2026-04-14
ES,311.0,315.0,2026-04-14
Acre,283.5,287.0,2026-04-14
TO Norte,326.0,330.0,2026-04-14
TO Sul,321.0,325.0,2026-04-14
MT Sudoeste,343.0,347.0,2026-04-14
PA Paragominas,324.0,328.0,2026-04-14
RO Sudeste,311.0,315.0,2026-04-14
SC,336.0,340.0,2026-04-14
MA Oeste,318.0,322.0,2026-04-14
PR Noroeste,341.0,345.0,2026-04-14
PA Marabá,323.0,327.0,2026-04-14
PA Redenção,323.0,327.0,2026-04-14
Alagoas,331.0,335.0,2026-04-14
BA Oeste,313.0,317.0,2026-04-15
BA Sul,306.0,310.0,2026-04-15
RS Oeste (kg),11.4,11.55,2026-04-15
MS Três Lagoas,338.0,342.0,2026-04-15
MS C. Grande,336.0,340.0,2026-04-15
MS Dourados,340.0,344.0,2026-04-15
GO Reg. Sul,331.0,335.0,2026-04-15
MT Norte,336.0,340.0,2026-04-15
MG Norte,324.0,328.0,2026-04-15
MG B.Horizonte,326.0,330.0,2026-04-15
MG Triângulo,330.0,334.0,2026-04-15
SP Araçatuba,341.0,345.0,2026-04-15
SP Barretos,341.0,345.0,2026-04-15
GO Goiânia,328.0,332.0,2026-04-15
MG Sul,319.0,323.0,2026-04-15
RS Pelotas (kg),11.25,11.4,2026-04-15
MT Sudeste,336.0,340.0,2026-04-15
MT Cuiabá*,341.0,345.0,2026-04-15
Roraima,271.5,275.0,2026-04-15
RJ,321.0,325.0,2026-04-15
ES,313.0,317.0,2026-04-15
Acre,286.5,290.0,2026-04-15
TO Norte,328.0,332.0,2026-04-15
TO Sul,323.0,327.0,2026-04-15
MT Sudoeste,343.0,347.0,2026-04-15
PA Paragominas,330.0,334.0,2026-04-15
PA Redenção,326.0,330.0,2026-04-15
PA Marabá,328.0,332.0,2026-04-15
Alagoas,331.0,335.0,2026-04-15
MA Oeste,321.0,325.0,2026-04-15
SC,336.0,340.0,2026-04-15
PR Noroeste,341.0,345.0,2026-04-15
RO Sudeste,318.0,322.0,2026-04-15
BA Sul,306.0,310.0,2026-04-16
RS Pelotas (kg),11.25,11.4,2026-04-16
RS Oeste (kg),11.4,11.55,2026-04-16
MS Três Lagoas,338.0,342.0,2026-04-16
MS C. Grande,336.0,340.0,2026-04-16
MS Dourados,340.0,344.0,2026-04-16
MG Norte,324.0,328.0,2026-04-16
GO Goiânia,328.0,332.0,2026-04-16
MG Sul,319.0,323.0,2026-04-16
MG B.Horizonte,326.0,330.0,2026-04-16
MG Triângulo,331.0,335.0,2026-04-16
SP Araçatuba,341.0,345.0,2026-04-16
SP Barretos,341.0,345.0,2026-04-16
GO Reg. Sul,331.0,335.0,2026-04-16
BA Oeste,313.0,317.0,2026-04-16
MT Norte,341.0,345.0,2026-04-16
MT Cuiabá*,341.0,345.0,2026-04-16
Roraima,271.5,275.0,2026-04-16
RJ,321.0,325.0,2026-04-16
ES,313.0,317.0,2026-04-16
Acre,286.5,290.0,2026-04-16
TO Norte,328.0,332.0,2026-04-16
TO Sul,323.0,327.0,2026-04-16
RO Sudeste,321.0,325.0,2026-04-16
MT Sudoeste,343.0,347.0,2026-04-16
PA Redenção,326.0,330.0,2026-04-16
PA Marabá,328.0,332.0,2026-04-16
Alagoas,333.0,337.0,2026-04-16
MA Oeste,323.0,327.0,2026-04-16
SC,336.0,340.0,2026-04-16
PR Noroeste,341.0,345.0,2026-04-16
MT Sudeste,336.0,340.0,2026-04-16
PA Paragominas,330.0,334.0,2026-04-16
BA Sul,306.0,310.0,2026-04-17
RS Pelotas (kg),11.25,11.4,2026-04-17
RS Oeste (kg),11.4,11.55,2026-04-17
MS Três Lagoas,338.0,342.0,2026-04-17
MS C. Grande,336.0,340.0,2026-04-17
MS Dourados,340.0,344.0,2026-04-17
GO Reg. Sul,331.0,335.0,2026-04-17
MG B.Horizonte,326.0,330.0,2026-04-17
MG Sul,319.0,323.0,2026-04-17
MG Norte,324.0,328.0,2026-04-17
MG Triângulo,331.0,335.0,2026-04-17
SP Araçatuba,341.0,345.0,2026-04-17
SP Barretos,341.0,345.0,2026-04-17
BA Oeste,313.0,317.0,2026-04-17
GO Goiânia,328.0,332.0,2026-04-17
MT Norte,341.0,345.0,2026-04-17
MT Sudoeste,343.0,347.0,2026-04-17
MT Cuiabá*,341.0,345.0,2026-04-17
RJ,321.0,325.0,2026-04-17
ES,313.0,317.0,2026-04-17
Acre,286.5,290.0,2026-04-17
TO Norte,328.0,332.0,2026-04-17
TO Sul,323.0,327.0,2026-04-17
RO Sudeste,321.0,325.0,2026-04-17
PA Paragominas,330.0,334.0,2026-04-17
Roraima,271.5,275.0,2026-04-17
PA Marabá,328.0,332.0,2026-04-17
Alagoas,333.0,337.0,2026-04-17
MA Oeste,323.0,327.0,2026-04-17
SC,336.0,340.0,2026-04-17
PR Noroeste,341.0,345.0,2026-04-17
MT Sudeste,336.0,340.0,2026-04-17
PA Redenção,331.0,335.0,2026-04-17
BA Sul,304.5,308.0,2026-04-18
RS Pelotas (kg),11.35,11.5,2026-04-18
RS Oeste (kg),11.5,11.65,2026-04-18
MS Três Lagoas,338.0,342.0,2026-04-18
MS C. Grande,338.0,342.0,2026-04-18
MS Dourados,342.0,346.0,2026-04-18
GO Reg. Sul,331.0,335.0,2026-04-18
MG Norte,326.0,330.0,2026-04-18
MG Sul,316.0,320.0,2026-04-18
MG B.Horizonte,326.0,330.0,2026-04-18
MG Triângulo,331.0,335.0,2026-04-18
SP Araçatuba,341.0,345.0,2026-04-18
SP Barretos,341.0,345.0,2026-04-18
BA Oeste,313.0,317.0,2026-04-18
GO Goiânia,328.0,332.0,2026-04-18
MT Norte,341.0,345.0,2026-04-18
Roraima,271.5,275.0,2026-04-18
MT Cuiabá*,341.0,345.0,2026-04-18
MT Sudoeste,343.0,347.0,2026-04-18
RJ,323.0,327.0,2026-04-18
ES,313.0,317.0,2026-04-18
Acre,286.5,290.0,2026-04-18
TO Sul,323.0,327.0,2026-04-18
RO Sudeste,321.0,325.0,2026-04-18
PA Paragominas,330.0,334.0,2026-04-18
TO Norte,328.0,332.0,2026-04-18
PA Marabá,328.0,332.0,2026-04-18
Alagoas,333.0,337.0,2026-04-18
MA Oeste,323.0,327.0,2026-04-18
SC,336.0,340.0,2026-04-18
PR Noroeste,341.0,345.0,2026-04-18
MT Sudeste,338.0,342.0,2026-04-18
PA Redenção,331.0,335.0,2026-04-18
MS Dourados,342.0,346.0,2026-04-19
BA Sul,304.5,308.0,2026-04-19
RS Pelotas (kg),11.35,11.5,2026-04-19
RS Oeste (kg),11.5,11.65,2026-04-19
MS Três Lagoas,338.0,342.0,2026-04-19
MS C. Grande,338.0,342.0,2026-04-19
GO Reg. Sul,331.0,335.0,2026-04-19
BA Oeste,313.0,317.0,2026-04-19
MG Sul,316.0,320.0,2026-04-19
MG Norte,326.0,330.0,2026-04-19
MG B.Horizonte,326.0,330.0,2026-04-19
MG Triângulo,331.0,335.0,2026-04-19
SP Araçatuba,341.0,345.0,2026-04-19
SP Barretos,341.0,345.0,2026-04-19
GO Goiânia,328.0,332.0,2026-04-19
MT Norte,341.0,345.0,2026-04-19
Roraima,271.5,275.0,2026-04-19
MT Cuiabá*,341.0,345.0,2026-04-19
RJ,323.0,327.0,2026-04-19
ES,313.0,317.0,2026-04-19
Acre,286.5,290.0,2026-04-19
TO Norte,328.0,332.0,2026-04-19
TO Sul,323.0,327.0,2026-04-19
RO Sudeste,321.0,325.0,2026-04-19
PA Paragominas,330.0,334.0,2026-04-19
MT Sudoeste,343.0,347.0,2026-04-19
PA Marabá,328.0,332.0,2026-04-19
Alagoas,333.0,337.0,2026-04-19
MA Oeste,323.0,327.0,2026-04-19
SC,336.0,340.0,2026-04-19
PR Noroeste,341.0,345.0,2026-04-19
MT Sudeste,338.0,342.0,2026-04-19
PA Redenção,331.0,335.0,2026-04-19
BA Sul,304.5,308.0,2026-04-21
RS Pelotas (kg),11.3,11.45,2026-04-21
RS Oeste (kg),11.5,11.65,2026-04-21
MS Três Lagoas,338.0,342.0,2026-04-21
MS C. Grande,338.0,342.0,2026-04-21
MS Dourados,342.0,346.0,2026-04-21
MG Norte,326.0,330.0,2026-04-21
GO Goiânia,326.0,330.0,2026-04-21
MG Sul,313.0,317.0,2026-04-21
MG B.Horizonte,323.0,327.0,2026-04-21
MG Triângulo,331.0,335.0,2026-04-21
