praca,preco_vista,preco_30d,data
MG Sul,303.5,307.0,2026-06-01
MG Norte,298.5,302.0,2026-06-01
MG B.Horizonte,296.5,300.0,2026-06-01
MG Triângulo,306.5,310.0,2026-06-01
SP Araçatuba,326.5,330.0,2026-06-01
SP Barretos,326.5,330.0,2026-06-01
GO Goiânia,301.5,305.0,2026-06-01
MT Norte,321.5,325.0,2026-06-01
Roraima,306.5,310.0,2026-06-01
MT Cuiabá*,324.5,328.0,2026-06-01
RJ,308.5,312.0,2026-06-01
ES,304.5,308.0,2026-06-01
Acre,280.0,283.0,2026-06-01
TO Norte,311.5,315.0,2026-06-01
TO Sul,306.5,310.0,2026-06-01
RO Sudeste,326.5,330.0,2026-06-01
PA Paragominas,326.5,330.0,2026-06-01
MT Sudoeste,328.5,332.0,2026-06-01
PA Marabá,326.5,330.0,2026-06-01
Alagoas,326.5,330.0,2026-06-01
MA Oeste,316.5,320.0,2026-06-01
SC,326.5,330.0,2026-06-01
PR Noroeste,326.5,330.0,2026-06-01
MT Sudeste,328.5,332.0,2026-06-01
PA Redenção,326.5,330.0,2026-06-01
BA Sul,287.0,290.0,2026-06-02
RS Pelotas (kg),11.85,12.0,2026-06-02
RS Oeste (kg),11.85,12.0,2026-06-02
MS Três Lagoas,321.5,325.0,2026-06-02
MS C. Grande,326.5,330.0,2026-06-02
MS Dourados,326.5,330.0,2026-06-02
MG Norte,298.5,302.0,2026-06-02
GO Goiânia,301.5,305.0,2026-06-02
MG Sul,303.5,307.0,2026-06-02
MG B.Horizonte,296.5,300.0,2026-06-02
MG Triângulo,306.5,310.0,2026-06-02
SP Araçatuba,326.5,330.0,2026-06-02
BA Oeste,294.0,297.0,2026-06-02
GO Reg. Sul,304.5,308.0,2026-06-02
SP Barretos,326.5,330.0,2026-06-02
MT Norte,321.5,325.0,2026-06-02
MT Cuiabá*,324.5,328.0,2026-06-02
MT Sudoeste,328.5,332.0,2026-06-02
Roraima,306.5,310.0,2026-06-02
RJ,308.5,312.0,2026-06-02
ES,304.5,308.0,2026-06-02
Acre,280.0,283.0,2026-06-02
TO Sul,306.5,310.0,2026-06-02
RO Sudeste,326.5,330.0,2026-06-02
TO Norte,311.5,315.0,2026-06-02
PA Redenção,326.5,330.0,2026-06-02
PA Marabá,326.5,330.0,2026-06-02
Alagoas,326.5,330.0,2026-06-02
MA Oeste,316.5,320.0,2026-06-02
SC,326.5,330.0,2026-06-02
PR Noroeste,326.5,330.0,2026-06-02
MT Sudeste,328.5,332.0,2026-06-02
PA Paragominas,326.5,330.0,2026-06-02
MS Dourados,326.5,330.0,2026-06-03
BA Sul,287.0,290.0,2026-06-03
RS Pelotas (kg),11.8,11.95,2026-06-03
RS Oeste (kg),11.85,12.0,2026-06-03
MS Três Lagoas,321.5,325.0,2026-06-03
MS C. Grande,326.5,330.0,2026-06-03
BA Oeste,296.5,300.0,2026-06-03
SP Barretos,328.5,332.0,2026-06-03
GO Goiânia,301.5,305.0,2026-06-03
MG Sul,303.5,307.0,2026-06-03
MG Norte,298.5,302.0,2026-06-03
MG B.Horizonte,296.5,300.0,2026-06-03
MG Triângulo,306.5,310.0,2026-06-03
SP Araçatuba,328.5,332.0,2026-06-03
GO Reg. Sul,306.5,310.0,2026-06-03
MT Norte,321.5,325.0,2026-06-03
PA Redenção,326.5,330.0,2026-06-03
MT Cuiabá*,324.5,328.0,2026-06-03
Roraima,311.5,315.0,2026-06-03
RJ,311.5,315.0,2026-06-03
ES,304.5,308.0,2026-06-03
Acre,280.0,283.0,2026-06-03
TO Norte,311.5,315.0,2026-06-03
TO Sul,306.5,310.0,2026-06-03
RO Sudeste,326.5,330.0,2026-06-03
MT Sudoeste,331.5,335.0,2026-06-03
PA Marabá,326.5,330.0,2026-06-03
Alagoas,326.5,330.0,2026-06-03
MA Oeste,311.5,315.0,2026-06-03
SC,326.5,330.0,2026-06-03
PR Noroeste,328.5,332.0,2026-06-03
MT Sudeste,331.5,335.0,2026-06-03
PA Paragominas,326.5,330.0,2026-06-03
BA Sul,287.0,290.0,2026-06-04
RS Pelotas (kg),11.8,11.95,2026-06-04
RS Oeste (kg),11.85,12.0,2026-06-04
MS Três Lagoas,324.5,328.0,2026-06-04
MS C. Grande,326.5,330.0,2026-06-04
MS Dourados,326.5,330.0,2026-06-04
GO Reg. Sul,306.5,310.0,2026-06-04
MG Norte,299.0,302.0,2026-06-04
MG Sul,301.5,305.0,2026-06-04
MG B.Horizonte,297.0,300.0,2026-06-04
MG Triângulo,306.5,310.0,2026-06-04
SP Araçatuba,328.5,332.0,2026-06-04
SP Barretos,328.5,332.0,2026-06-04
BA Oeste,297.0,300.0,2026-06-04
GO Goiânia,306.5,310.0,2026-06-04
MT Norte,324.5,328.0,2026-06-04
MT Sudoeste,331.5,335.0,2026-06-04
MT Cuiabá*,324.5,328.0,2026-06-04
RJ,313.5,317.0,2026-06-04
ES,306.5,310.0,2026-06-04
Acre,280.0,283.0,2026-06-04
TO Norte,311.5,315.0,2026-06-04
RO Sudeste,326.5,330.0,2026-06-04
PA Paragominas,326.5,330.0,2026-06-04
TO Sul,306.5,310.0,2026-06-04
PA Marabá,326.5,330.0,2026-06-04
Alagoas,326.5,330.0,2026-06-04
MA Oeste,311.5,315.0,2026-06-04
SC,326.5,330.0,2026-06-04
PR Noroeste,328.5,332.0,2026-06-04
MT Sudeste,331.5,335.0,2026-06-04
PA Redenção,326.5,330.0,2026-06-04
Roraima,311.5,315.0,2026-06-04
MS Dourados,326.5,330.0,2026-06-05
BA Sul,287.0,290.0,2026-06-05
RS Pelotas (kg),11.8,11.95,2026-06-05
RS Oeste (kg),11.85,12.0,2026-06-05
MS Três Lagoas,324.5,328.0,2026-06-05
MS C. Grande,326.5,330.0,2026-06-05
SP Barretos,328.5,332.0,2026-06-05
MG Sul,301.5,305.0,2026-06-05
MG Norte,299.0,302.0,2026-06-05
MG B.Horizonte,297.0,300.0,2026-06-05
MG Triângulo,306.5,310.0,2026-06-05
SP Araçatuba,328.5,332.0,2026-06-05
BA Oeste,297.0,300.0,2026-06-05
GO Goiânia,306.5,310.0,2026-06-05
MT Norte,324.5,328.0,2026-06-05
GO Reg. Sul,306.5,310.0,2026-06-05
MT Cuiabá*,324.5,328.0,2026-06-05
MT Sudoeste,331.5,335.0,2026-06-05
RJ,313.5,317.0,2026-06-05
ES,306.5,310.0,2026-06-05
Acre,280.0,283.0,2026-06-05
TO Norte,311.5,315.0,2026-06-05
TO Sul,306.5,310.0,2026-06-05
RO Sudeste,326.5,330.0,2026-06-05
Roraima,311.5,315.0,2026-06-05
PA Redenção,326.5,330.0,2026-06-05
PA Marabá,326.5,330.0,2026-06-05
Alagoas,326.5,330.0,2026-06-05
MA Oeste,311.5,315.0,2026-06-05
SC,326.5,330.0,2026-06-05
PR Noroeste,328.5,332.0,2026-06-05
PA Paragominas,326.5,330.0,2026-06-05
